name,price,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
1 Cookie,0.49,160,70,7,3.5,0,10,90,22,1,14,2
2 Apple Pies,1.59,480,200,22,12,0,0,190,70,8,32,4
2 McGriddles,1.19,240,50,6,3,0,0,710,41,1,14,5
3 Pack Of Cookies,1.29,480,210,21,10.5,0,30,270,66,3,42,6
4 McNuggets,1.99,180,100,11,2,0,30,340,11,1,0,10
4 Piece Buttermilk Crispy Chicken Tenders,3.99,480,220,24,3.5,0,110,1430,22,0,0,42
6 McNuggets,2,270,150,16.5,3,0,45,510,16.5,1.5,0,15
6 Piece Buttermilk Crispy Chicken Tenders,5.79,720,330,36,5.25,0,165,2145,33,0,0,63
10 McNuggets,4.59,450,250,27.5,5,0,75,850,27.5,2.5,0,25
10 Piece Buttermilk Crispy Chicken Tenders,9.69,1200,550,60,8.75,0,275,3575,55,0,0,105
20 McNuggets,5.29,900,500,55,10,0,150,1700,55,5,0,50
Americano,2.59,0,0,0,0,0,0,10,0,0,0,0
Apple Pie,0.89,240,100,11,6,0,0,95,35,4,16,2
Apple Slices,0.69,15,0,0,0,0,0,0,4,0,3,0
Bacon Big Mac,5.39,630,320,35,12,1,100,1300,47,3,9,33
Bacon Egg & Cheese Biscuit,3.59,450,220,24,12,0,200,1300,40,2,3,18
Bacon Egg & Cheese McGriddles,3.79,420,170,18,8,0,195,1240,45,2,15,18
Bacon McDouble,2.49,450,200,23,10,1,85,1090,34,2,7,28
Bacon Quarter Pounder with Cheese,5.59,590,260,29,13,1.5,105,1330,48,3,12,36
Bacon Ranch Salad,3.99,180,110,12,5,0,40,500,7,3,3,14
Bacon Ranch Salad with Crispy Chicken,5.19,480,250,28,8,0,95,1120,27,4,3,33
Bacon Ranch Salad with Grilled Chicken,5.19,320,120,14,6,0,135,1240,8,3,3,42
Big Mac,4.39,540,250,28,10,1,80,940,46,3,9,25
Buttermilk Chicken-Crispy Sandwich,4.99,470,180,20,4.5,0,65,950,48,3,5,25
Cappuccino (Small),2.89,120,50,6,3.5,0,20,80,9,0,9,6
Caramel Cappuccino (Small),2.89,210,45,5,3,0,15,300,35,0,32,6
Caramel Frappe (Small),3.29,420,160,18,11,1,65,125,60,0,55,7
