name,price,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
7-Layer Burrito,3.19,440,140,16,6,0,15,10,59,7,4,14
Aquafina Sparkling Berry Breeze (16 fl oz),1.79,0,0,0,0,0,0,85,0,0,0,0
Aquafina Sparkling Berry Breeze (20 fl oz),1.89,0,0,0,0,0,0,105,0,0,0,0
Aquafina Sparkling Berry Breeze (30 fl oz),1.99,0,0,0,0,0,0,160,0,0,0,0
Bean Burrito,1.29,380,100,11,4,0,5,10,55,9,3,14
Beefy 5-Layer Burrito,2.19,500,170,19,7,0,30,10,64,8,5,19
Beefy Fritos Burrito,1,440,160,18,4.5,0,20,10,57,5,3,13
Beefy Mini Quesadilla,1,210,100,11,4,0,25,540,17,3,1,9
Beefy Nacho Loaded Griller,1.99,370,130,15,4,0,20,820,48,5,3,12
Black Bean Burrito,2.49,390,100,11,4,0,10,10,60,8,2,13
Black Beans,1.59,80,15,1.5,0,0,0,200,12,5,0,3
Black Beans & Rice,1.69,190,35,4,0,0,0,390,35,6,0,5
Border Sauce - Diablo,0,0,0,0,0,0,0,30,0,0,0,0
Border Sauce - Fire,0,0,0,0,0,0,0,65,0.5,0,0,0
Border Sauce - Hot,0,0,0,0,0,0,0,45,0,0,0,0
Border Sauce - Mild,0,0,0,0,0,0,0,35,0,0,0,0
Brisk Mango Iced Tea (16 fl oz),1.79,100,0,0,0,0,0,50,26,0,26,0
Brisk Mango Iced Tea (20 fl oz),1.89,120,0,0,0,0,0,60,32,0,32,0
Brisk Mango Iced Tea (30 fl oz),1.99,180,0,0,0,0,0,90,48,0,48,0
Brisk Unsweetened No Lemon Iced Tea (16 fl oz),1.79,0,0,0,0,0,0,60,0,0,0,0
Brisk Unsweetened No Lemon Iced Tea (20 fl oz),1.89,0,0,0,0,0,0,75,0,0,0,0
Brisk Unsweetened No Lemon Iced Tea (30 fl oz),1.99,0,0,0,0,0,0,115,0,0,0,0
Burrito Supreme - Beef,3.39,400,130,15,6,0,30,10,52,8,4,17
Burrito Supreme - Chicken,3.89,380,110,12,5,0,35,10,49,6,4,20
Burrito Supreme - Steak,4.29,390,110,12,5,0,35,10,50,6,4,19
Caramel Apple Empanada,1,280,120,13,3.5,0,5,260,38,1,15,3
Chalupa Supreme - Beef,2.89,350,170,18,5,0,25,560,33,4,3,13
Chalupa Supreme - Chicken,3.49,330,140,16,3.5,0,35,520,31,2,3,16
Chalupa Supreme - Steak,3.49,330,140,16,4,0,30,530,32,2,3,15
Cheesy Bean & Rice Burrito,1,430,150,17,3.5,0,5,910,57,6,4,11
Cheesy Fiesta Potatoes,1.69,230,110,12,2,0,5,520,28,2,2,3
Cheesy Gordita Crunch,3.39,500,250,28,10,0.5,55,850,41,5,4,20
Cheesy Gordita Crunch Supreme,4.09,520,270,29,11,1,60,870,43,5,5,21
Cheesy Potato Griller,1.99,340,110,13,3,0,5,780,50,3,3,8
Cheesy Roll Up,1,180,80,9,5,0,20,430,15,2,0.5,9
Chipotle Chicken Loaded Griller,1.99,340,140,16,4.5,0,35,770,36,2,3,14
Chips and Guacamole,1.49,230,130,14,1.5,0,0,310,23,4,0.5,3
Chips and Nacho Cheese Sauce,1.59,220,110,12,1,0,5,330,24,2,2,3
Chips and Pico de Gallo,1.49,170,70,8,0.5,0,0,170,22,3,0.5,2
Chips and Salsa,1.49,180,70,8,0.5,0,0,320,24,3,3,3
Cinnabon Delights (2 Pack),1,160,80,9,2,0,5,80,17,0,10,2
Cinnabon Delights (4 Pack),1.99,310,160,18,4.5,0.5,15,160,35,0.5,20,3
Cinnabon Delights (12 Pack - Serves 4),5.19,930,480,53,13,2,40,480,104,3,59,9
Cinnamon Twists,1,170,50,6,0,0,0,210,27,0.5,13,1
Cool Ranch Doritos Locos Taco,1.89,170,90,10,3.5,0,25,380,13,3,1,8
Cool Ranch Doritos Locos Taco Supreme,2.59,190,100,11,4.5,0,30,400,15,3,2,8
Crunchwrap Supreme,3.59,530,190,21,6,0,25,10,71,6,6,16
Crunchy Taco,1.29,170,80,9,3.5,0,25,310,13,3,0.5,8
Crunchy Taco Supreme,1.89,190,100,11,4.5,0,30,340,15,3,2,8
Diet Dr Pepper (16 fl oz),1.79,0,0,0,0,0,0,95,0,0,0,0
Diet Dr Pepper (20 fl oz),1.89,0,0,0,0,0,0,120,0,0,0,0
Diet Dr Pepper (30 fl oz),1.99,0,0,0,0,0,0,180,1,0,0,0
Diet Mtn Dew (16 fl oz),1.79,5,0,0,0,0,0,75,1,0,1,0
Diet Mtn Dew (20 fl oz),1.89,10,0,0,0,0,0,90,1,0,1,0
Diet Mtn Dew (30 fl oz),1.99,10,0,0,0,0,0,140,1,0,1,0
Diet Pepsi (16 fl oz),1.79,0,0,0,0,0,0,75,0,0,0,0
Diet Pepsi (20 fl oz),1.89,0,0,0,0,0,0,95,0,0,0,0
